创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）关于增加光大证券为代销机构的公告,2017-05-06,证券时报电子报
创金合信尊隆纯债债券型证券投资基金开放日常申购、赎回业务公告,2017-05-06,证券时报电子报
创金合信基金管理有限公司关于创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）延长募集期的公告,2017-05-11,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）关于基金合同、基金合同摘要、托管协议、招募说明书的更正公告,2017-05-11,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）关于增加海通证券为代销机构的公告,2017-05-18,证券时报电子报
创金合信基金管理有限公司关于公司旗下部分基金估值调整情况的公告,2017-05-22,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加东莞证券股份有限公司为代销机构的公告,2017-05-24,证券时报电子报
创金合信货币市场基金2017年“端午节”假期前暂停申购、定期定额投资业务公告,2017-05-24,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金参加中银国际证券申购费率优惠活动的公告,2017-06-01,证券时报电子报
创金合信货币市场基金招募说明书(更新)摘要,2017-06-05,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-06-05,证券时报电子报
创金合信基金管理有限公司关于创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）延长募集期的公告,2017-06-13,证券时报电子报
创金合信基金管理有限公司关于开通旗下部分开放式基金转换业务的公告,2017-06-13,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）关于增加长城证券为代销机构暨参加长城证券费率优惠活动的公告,2017-06-14,证券时报电子报
关于创金合信量化多因子股票型证券投资基金C增加中信建投证券为代销机构的公告,2017-06-20,证券时报电子报
创金合信基金管理有限公司关于旗下部分基金及其代销机构一览表的公告,2017-06-23,证券时报电子报
创金合信鑫安保本混合型证券投资基金招募说明书（更新）摘要,2017-06-24,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加代销机构暨参加代销机构费率优惠活动的公告,2017-06-28,证券时报电子报
关于创金合信量化多因子股票型证券投资基金变更基金份额净值计算位数并修改基金合同、托管协议的公告,2017-07-04,证券时报电子报
关于创金合信基金管理有限公司旗下部分开放式基金开通在代销机构转换业务的公告,2017-07-04,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-07-04,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金(LOF)基金合同生效公告,2017-07-08,证券时报电子报
关于创金合信基金管理有限公司旗下部分开放式基金开通在微信直销平台转换业务的公告,2017-07-10,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-07-11,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-07-14,证券时报电子报
创金合信货币市场基金2017第二季度报告,2017-07-19,证券时报电子报
创金合信量化多因子股票型证券投资基金2017第二季度报告,2017-07-19,证券时报电子报
创金合信尊隆纯债债券型证券投资基金2017第二季度报告,2017-07-19,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金2017第二季度报告,2017-07-19,证券时报电子报
创金合信鑫安保本混合型证券投资基金2017第二季度报告,2017-07-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金2017第二季度报告,2017-07-19,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加唐鼎耀华为代销机构的公告,2017-07-26,证券时报电子报
创金合信基金成立三周年合伙文化开花结果,2017-07-31,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加凤凰金融为代销机构的公告,2017-08-01,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金招募说明书（更新）摘要,2017-08-04,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加平安银行为代销机构的公告,2017-08-09,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加挖财基金为代销机构的公告,2017-08-14,证券时报电子报
创金合信基金管理有限公司关于旗下证券投资基金估值调整情况的公告,2017-08-15,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信优选回报灵活配置混合型基金增加安信证券为代销机构的公告,2017-08-24,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信优选回报灵活配置混合型基金增加唐鼎耀华为代销机构的公告,2017-08-25,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信优选回报灵活配置混合型证券投资基金增加平安银行为代销机构的公告,2017-08-25,证券时报电子报
创金合信优选回报正在发行,2017-08-28,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-08-28,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加大智慧为代销机构的公告,2017-08-29,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信优选回报灵活配置混合型证券投资基金增加东莞证券为代销机构的公告,2017-09-01,证券时报电子报
创金合信量化多因子股票型证券投资基金招募说明书（更新）摘要,2017-09-04,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信优选回报灵活配置混合型证券投资基金增加国信证券为代销机构的公告,2017-09-05,证券时报电子报
创金合信基金管理有限公司关于创金合信优选回报灵活配置混合型证券投资基金增加中泰证券为代销机构暨参加中泰证券费率优惠活动的公告,2017-09-06,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-09-07,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加中泰证券为代销机构暨参加中泰证券费率优惠活动的公告,2017-09-08,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加招商银行为代销机构的公告,2017-09-11,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加太平洋证券为代销机构的公告,2017-09-12,证券时报电子报
创金合信货币市场基金基金经理变更公告,2017-09-12,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加光大证券为代销机构的公告,2017-09-13,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）上市交易公告书,2017-09-13,证券时报电子报
创金合信基金管理有限公司关于创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）开通跨系统转托管业务的公告,2017-09-14,证券时报电子报
创金合信基金管理有限公司关于公司旗下部分基金估值调整情况的公告,2017-09-15,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-09-18,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）调整最低持有份额的公告,2017-09-22,证券时报电子报
创金合信尊隆纯债债券型证券投资基金招募说明书(更新)摘要,2017-09-22,证券时报电子报
"创金合信货币市场基金2017年""国庆节""假期前两个工作日暂停申购、转换转入及定期定额投资业务的公告",2017-09-26,证券时报电子报
创金合信优选回报灵活配置混合型证券投资基金基金合同生效公告,2017-09-28,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加世纪证券为代销机构的公告,2017-10-13,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金招募说明书（更新）摘要,2017-10-13,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加包商银行为代销机构的公告,2017-10-19,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-10-24,证券时报电子报
创金合信货币市场基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信量化多因子股票型证券投资基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信鑫安保本混合型证券投资基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信尊隆纯债债券型证券投资基金2017第三季度报告,2017-10-27,证券时报电子报
创金合信基金管理有限公司关于公司旗下部分基金估值调整情况的公告,2017-11-03,证券时报电子报
创金合信基金管理有限公司关于公司旗下部分基金估值调整情况的公告,2017-11-28,证券时报电子报
创金合信国证A股指数发起式证券投资基金招募说明书,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金基金份额发售公告,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金基金合同摘要,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金招募说明书,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金招募说明书,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金招募说明书,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金基金份额发售公告,2017-12-01,证券时报电子报
创金合信国证A股指数发起式证券投资基金基金合同摘要,2017-12-01,证券时报电子报
创金合信货币市场基金招募说明书（更新）摘要,2017-12-05,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加代销机构的公告,2017-12-08,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加代销机构的公告,2017-12-20,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加代销机构的公告,2017-12-22,证券时报电子报
创金合信鑫安保本混合型证券投资基金招募说明书（更新）摘要,2017-12-25,证券时报电子报
创金合信货币市场基金2017年“元旦节”假期前两个工作日暂停申购、转换转入及定期定额投资业务的公告,2017-12-27,证券时报电子报
创金合信基金管理有限公司关于创金合信睿合定期开放混合型证券投资基金延长募集期的公告,2017-12-29,证券时报电子报
创金合信国证A股指数发起式证券投资基金基金合同生效公告,2017-12-29,证券时报电子报
创金合信基金管理有限公司关于增值税对资产管理产品影响告投资者通知书,2017-12-30,证券时报电子报
创金合信基金管理有限公司关于创金合信睿合定期开放混合型证券投资基金增加国信证券为代销机构的公告,2018-01-05,证券时报电子报
创金合信国证2000指数发起式证券投资基金招募说明书,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金基金份额发售公告,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金基金合同内容摘要,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金招募说明书,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金招募说明书,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金招募说明书,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金基金份额发售公告,2018-01-06,证券时报电子报
创金合信国证2000指数发起式证券投资基金基金合同内容摘要,2018-01-06,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加代销机构的公告,2018-01-10,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加代销机构的公告,2018-01-15,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加华泰证券为代销机构暨参加华泰证券费率优惠活动的公告,2018-01-17,证券时报电子报
创金合信基金管理有限公司关于创金合信睿合定期开放混合型证券投资基金增加国泰君安证券为代销机构的公告,2018-01-19,证券时报电子报
创金合信基金管理有限公司关于创金合信睿合定期开放混合型证券投资基金增加光大证券为代销机构的公告,2018-01-22,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加华泰证券为代销机构暨参加华泰证券费率优惠活动的公告,2018-01-24,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式基金增加苏宁金融为代销机构的公告,2018-01-29,证券时报电子报
创金合信尊隆纯债债券型证券投资基金暂停大额申购业务的公告,2018-01-29,证券时报电子报
创金合信基金管理有限公司关于创金合信睿合定期开放混合型证券投资基金延长募集期的公告,2018-01-31,证券时报电子报
创金合信尊隆纯债债券型证券投资基金分红公告,2018-02-01,证券时报电子报
